goal_x,goal_y,episodes,success_rate,collision_rate,reward_mean,reward_median,steps_mean,dist_mean
-0.7,-0.5,1473,0.3428377460964019,0.6571622539035981,-73.89828438904739,-251.43041195427864,22.035302104548542,0.6572441650612391
0.0,0.5,920,0.005434782608695652,0.9945652173913043,-295.6368757684108,-275.8129918246659,26.608695652173914,1.5826741403031594
1.0,-0.5,42,0.0,1.0,-271.07856477951566,-210.82359853852614,31.714285714285715,1.8137557612951405
1.7,0.5,65,0.0,1.0,-249.3727644285244,-208.29621291735967,24.138461538461538,2.4526916669429317
