goal_x,goal_y,episodes,success_rate,collision_rate,reward_mean,reward_median,steps_mean,dist_mean
-0.7,-0.5,6400,0.07453125,0.92546875,-175.5772426063576,-206.26619558638512,4.33734375,1.2273164939136454
0.0,0.5,316,0.0,1.0,-200.51350265500798,-201.7402206674482,3.7056962025316458,1.7932700446706638
1.0,-0.5,520,0.0,1.0,-199.53110168644568,-198.28423963424478,4.201923076923077,2.4268036853331947
1.7,0.5,764,0.0,1.0,-199.2541996547802,-198.79133532345423,3.985602094240838,3.163149925158593
