episode,reward,success,collision,steps,goal_x,goal_y,dist,min_scan,r_progress,r_time,r_collision_avoid,r_yaw,r_terminal,epsilon
1,-298.38088281623783,0,1,39,-0.7,-0.5,0.93816925539435,0.19,13.63843953349648,-1.950000000000001,-5.33664551827347,0.4726165338656263,-300.0,0.8959720738978301
2,-290.19863356278347,0,1,28,-0.7,-0.5,0.630549252197278,0.19,26.338410584184004,-1.4000000000000006,-4.99137085354249,0.29126717916272515,-300.0,0.8930163471782506
3,317.9435615993163,1,0,48,-0.7,-0.5,0.24273351648429542,0.34,41.26629532460798,-2.3999999999999995,-9.72861308473479,0.9411534911371039,300.0,0.8879733930863102
4,-295.6599727457684,0,1,32,-0.7,-0.5,0.8761631044883621,0.17,16.645465106895365,-1.6000000000000008,-4.668507926203369,0.00714190964143846,-300.0,0.8846281943716581
5,-290.66468052450017,0,1,37,-0.7,-0.5,0.5224692261968018,0.16,30.79138720452508,-1.850000000000001,-7.779311558869239,0.3174455262975293,-300.0,0.8807769518360905
6,-325.0421028707798,0,1,63,-0.7,-0.5,1.5470071691434457,0.18,-10.916987417947297,-3.149999999999997,-17.48129928779482,-0.2304149599610954,-300.0,0.8742602764277417
7,-283.8760818002133,0,1,39,-0.7,-0.5,0.3855419451377379,0.19,35.50905897880467,-1.950000000000001,-6.4418126522403485,0.8245649208243171,-300.0,0.8702517862137397
8,-294.8033317009053,0,1,26,-0.7,-0.5,0.7418858907785797,0.14,21.877314263477018,-1.3000000000000005,-4.939488307391233,-0.23927070906392722,-300.0,0.8675902951741504
9,-295.05600949783616,0,1,32,-0.7,-0.5,0.7573561897392744,0.16,21.38803934129918,-1.6000000000000008,-6.31056212300841,0.41433431818160804,-300.0,0.8643264660035661
10,-292.2224525090984,0,1,49,-0.7,-0.5,0.39164436373466094,0.19,35.295418141920706,-2.4499999999999993,-12.28010682518658,-0.5061772137275897,-300.0,0.8593539602437291
11,-292.78053659997,0,1,20,-0.7,-0.5,0.6274061540629348,0.19,26.456557235833706,-1.0000000000000002,-3.749171172182782,0.09362019564728352,-300.0,0.8573331024678696
12,-324.78096999290085,0,1,86,-0.7,-0.5,1.4722806065641862,0.16,-7.9278214641834435,-4.299999999999993,-22.70341223768577,-0.9410330876069071,-300.0,0.8487007536225414
13,-313.5040332605848,0,1,52,-0.7,-0.5,1.088128657876971,0.18,7.4093906078948315,-2.5999999999999988,-13.811445586391237,0.09319009291690283,-300.0,0.8435260347795444
14,-295.37284227567426,0,1,26,-0.7,-0.5,0.702080859475919,0.14,23.466347005669675,-1.3000000000000005,-5.470928508823071,0.15467219316595737,-300.0,0.8409512614395249
15,-329.76468366679995,0,1,59,-0.7,-0.5,2.01730874986657,0.18,-29.756807561493847,-2.9499999999999975,-6.929778104352006,-0.9117145208866293,-300.0,0.835139453271328
16,-288.84620890511104,0,1,27,-0.7,-0.5,0.4360616663916892,0.19,34.23841203649303,-1.3500000000000005,-7.1041476185110035,0.649800576710585,-300.0,0.8324940742047551
17,-282.7601374783573,0,1,47,-0.7,-0.5,0.44612227751209227,0.19,33.80146057034559,-2.3499999999999996,-9.93405055747829,-0.17679069695520178,-300.0,0.8279103992480138
18,-300.13923945004234,0,1,44,-0.7,-0.5,1.186040078241557,0.18,4.113583038510495,-2.2,-8.24323053418902,-0.26978071169885953,-300.0,0.8236436364057584
19,-291.0180469246448,0,1,27,-0.7,-0.5,0.6257131924125096,0.15,26.46939530503013,-1.3500000000000005,-4.799993852962549,0.059003187898646225,-300.0,0.8210369903224315
20,-291.069220946172,0,1,32,-0.7,-0.5,0.5532003993176954,0.19,28.860485328360113,-1.6000000000000008,-7.303464339340348,-0.13314832641444374,-300.0,0.8179590024408876
21,-312.3482426642954,0,1,30,-0.7,-0.5,1.567969239732126,0.17,-11.169093899983578,-1.5000000000000007,-5.641266874530725,-0.9843260197930443,-300.0,0.8150845491501536
22,-296.38928819483357,0,1,35,-0.7,-0.5,0.9155123655206785,0.19,15.068688226416798,-1.7500000000000009,-5.618611128510504,0.11245973523620156,-300.0,0.811744615679455
23,-316.33622964368755,0,1,34,-0.7,-0.5,1.5170106308599574,0.19,-9.130240601191337,-1.7000000000000008,-6.929826605575529,-0.17122182441010447,-300.0,0.808514070833257
24,-323.14955116378053,0,1,47,-0.7,-0.5,2.047451520373402,0.17,-30.20795780634914,-2.3499999999999996,-5.325920941873698,-0.5335740683354078,-300.0,0.8040708653631737
25,321.073026177432,1,0,40,-0.7,-0.5,0.24722237531440083,0.42,41.65126999260576,-2.000000000000001,-5.011234370739473,0.7411533225863707,300.0,0.8003099212319829
26,-322.9364057705969,0,1,66,-0.7,-0.5,1.6497756915201927,0.19,-14.344905895010097,-3.2999999999999963,-15.752824260847719,-0.7516771363535704,-300.0,0.7941453282924554
27,-313.5156576758259,0,1,51,-0.7,-0.5,1.275405682662267,0.17,-0.05512288274449162,-2.549999999999999,-11.783710789626529,0.4285281888915904,-300.0,0.7894164910086642
28,-322.26405105467063,0,1,70,-0.7,-0.5,1.5510710182440062,0.17,-10.502675602150092,-3.4999999999999956,-17.030025718884648,-0.6134459150131093,-300.0,0.782974820121619
29,-294.0009065277126,0,1,39,-0.7,-0.5,0.8339273449322735,0.17,18.198286327431354,-1.950000000000001,-5.973454792035522,-0.42712778639184545,-300.0,0.7794102635396848
30,318.4053347726466,1,0,33,-0.7,-0.5,0.24018233143033949,0.32,42.081596751249776,-1.6500000000000008,-7.103339246379171,0.9027672114664685,300.0,0.7764076433643157
