episode,reward,success,collision,steps,goal_x,goal_y,dist,min_scan,r_progress,r_time,r_smooth,r_collision_avoid,r_terminal,epsilon
1,91.74376913435269,1,0,34,-1.5,0.5,0.1926518697293376,0.37,36.9037691343527,-1.7000000000000008,-3.449999999999999,6.3400000000000025,80.0,0.8962682159455295
2,-90.1991679140126,0,1,31,-2.0,-1.5,1.4304346356361461,0.19,-17.199167914012612,-1.5500000000000007,-3.449999999999999,3.700000000000001,-50.0,0.8927775263810941
3,-82.49156953811747,0,1,35,-2.0,-1.5,1.110287559948422,0.19,-4.381569538117471,-1.7500000000000009,-3.299999999999999,4.940000000000004,-50.0,0.8888537272436027
4,-47.2557525040021,0,1,25,-1.0,-0.5,0.5793599107976869,0.15,15.924247495997898,-1.2500000000000004,-2.0999999999999996,3.9200000000000017,-50.0,0.8860622032774782
5,-84.05964421983475,0,1,27,-2.0,-1.5,1.4437412593131507,0.18,-17.73964421983475,-1.3500000000000005,-2.5499999999999994,3.780000000000001,-50.0,0.8830577905333836
6,-247.39745740199982,0,1,79,-2.0,-1.5,2.2032400817367,0.18,-48.12745740199986,-3.949999999999994,-9.00000000000001,13.77999999999998,-50.0,0.8743289676462052
7,-99.2344223544001,0,1,38,-1.5,0.5,1.500864483677232,0.18,-15.644422354400085,-1.900000000000001,-4.199999999999999,5.760000000000003,-50.0,0.8701629304166757
8,-89.0243063527838,0,1,28,-2.0,-1.5,1.55171512488107,0.19,-22.0443063527838,-1.4000000000000006,-2.6999999999999993,4.620000000000003,-50.0,0.8671066973279763
9,-91.72045401787742,0,1,37,-2.0,-1.5,1.223974377103858,0.19,-8.930454017877407,-1.850000000000001,-3.7499999999999987,4.260000000000004,-50.0,0.8630855645707425
10,-94.67664415423329,0,1,34,-2.0,-1.5,1.4663922979463198,0.19,-18.616644154233278,-1.7000000000000008,-3.449999999999999,5.440000000000003,-50.0,0.8594079189730164
11,-58.77204076140554,0,1,32,-1.0,-0.5,0.5907438456676264,0.17,15.127959238594464,-1.6000000000000008,-3.299999999999999,4.200000000000002,-50.0,0.8559618021292169
12,-47.55703823993338,0,1,24,-1.5,0.5,0.7407128843609163,0.15,14.552961760066623,-1.2000000000000004,-2.2499999999999996,3.9400000000000013,-50.0,0.8533868464887233
13,103.71675486774498,1,0,20,-1.0,-0.5,0.18282410244767092,0.24,31.296754867744966,-1.0000000000000002,-1.4999999999999998,3.420000000000001,80.0,0.8512473355139113
14,-82.63924449927822,0,1,24,-2.0,-1.5,1.506321532563519,0.16,-20.249244499278227,-1.2000000000000004,-2.2499999999999996,3.660000000000001,-50.0,0.8486874420542443
15,-49.145314396816765,0,1,24,-1.5,0.5,0.756371001024466,0.18,14.344685603183233,-1.2000000000000004,-2.2499999999999996,2.5600000000000005,-50.0,0.846135727160963
16,-74.20969499606338,0,1,25,-1.5,0.5,1.3994873447837481,0.19,-11.369694996063373,-1.2500000000000004,-2.0999999999999996,4.260000000000002,-50.0,0.8434863594696964
17,-60.53528834258098,0,1,17,-2.0,-1.5,1.1335736743955993,0.18,-5.345288342580976,-0.8500000000000002,-1.05,2.66,-50.0,0.8416898272272884
18,-50.53409451159985,0,1,31,-1.0,-0.5,0.4632293768914033,0.16,21.225905488400155,-1.5500000000000007,-3.149999999999999,4.640000000000002,-50.0,0.838424262757182
19,-100.33736208854314,0,1,41,-1.5,0.5,1.4099720364769306,0.19,-11.867362088543159,-2.0500000000000007,-4.65,7.180000000000005,-50.0,0.8341259694933674
20,-271.84040509185525,0,1,77,-1.5,0.5,3.1275050982277772,0.19,-80.49040509185524,-3.8499999999999943,-7.050000000000006,11.999999999999988,-50.0,0.8261167936592876
21,-44.612845238239494,0,1,29,-1.0,-0.5,0.36647829349025085,0.19,23.947154761760505,-1.4500000000000006,-2.6999999999999993,4.440000000000003,-50.0,0.8231216031572269
22,-96.48522602121555,0,1,35,-2.0,-1.5,1.4621308997692823,0.19,-18.47522602121555,-1.7500000000000009,-3.8999999999999986,5.640000000000003,-50.0,0.8195221076976476
23,-79.7217047535526,0,1,40,-1.0,-0.5,0.7891736764857818,0.16,8.188295246447394,-2.000000000000001,-4.049999999999999,5.140000000000004,-50.0,0.8154289146737027
24,-106.3718802877732,0,1,45,-2.0,-1.5,1.2418852427087559,0.17,-9.671880287773194,-2.25,-5.100000000000001,7.900000000000002,-50.0,0.8108500913919673
25,-107.72427647927229,0,1,40,-2.0,-1.5,1.511072703821263,0.17,-20.414276479272296,-2.000000000000001,-4.950000000000001,6.640000000000004,-50.0,0.8068030260052808
26,-51.22040387218191,0,1,25,-1.5,0.5,0.7904869738090261,0.19,12.989596127818093,-1.2500000000000004,-2.5499999999999994,3.3400000000000007,-50.0,0.8042845490454522
27,-51.15513216749515,0,1,25,-1.5,0.5,0.7873312838329184,0.19,13.114867832504858,-1.2500000000000004,-2.2499999999999996,2.9800000000000004,-50.0,0.8017744530328176
28,-98.97954847479551,0,1,35,-2.0,-1.5,1.5381441769629822,0.17,-21.5095484747955,-1.7500000000000009,-3.5999999999999988,5.8800000000000034,-50.0,0.7982743455215686
29,-31.31143101186774,0,1,18,-1.0,-0.5,0.35941595193247877,0.17,25.378568988132255,-0.9000000000000002,-1.4999999999999998,2.460000000000001,-50.0,0.7964806403994419
30,-261.742070602213,0,1,86,-1.5,0.5,1.9142898450041004,0.18,-31.972070602212945,-4.299999999999993,-9.300000000000011,12.279999999999989,-50.0,0.7879698839788088
31,-47.99800356751411,0,1,32,-1.0,-0.5,0.3343916507248589,0.19,25.17199643248589,-1.6000000000000008,-3.7499999999999987,5.3800000000000034,-50.0,0.7848279200965887
32,-55.53459043077503,0,1,37,-1.0,-0.5,0.34813260804116136,0.18,25.825409569224973,-1.850000000000001,-3.8999999999999986,5.840000000000003,-50.0,0.7812116963768554
33,-48.50554650988794,0,1,29,-1.0,-0.5,0.48918382990610426,0.16,20.164453490112052,-1.4500000000000006,-2.849999999999999,4.480000000000002,-50.0,0.7783898036593206
34,-73.3071359542682,0,1,43,-1.0,-0.5,0.4233709863488504,0.17,21.822864045731798,-2.1500000000000004,-5.100000000000001,5.1200000000000045,-50.0,0.7742256507633304
35,-121.4200313902569,0,1,48,-2.0,-1.5,1.4423236960106216,0.18,-17.69003139025689,-2.3999999999999995,-5.850000000000003,8.520000000000001,-50.0,0.7696054071484335
36,-63.95260202670169,0,1,39,-1.0,-0.5,0.45882035050275743,0.19,21.38739797329832,-1.950000000000001,-4.35,6.060000000000004,-50.0,0.7658731712545536
37,-96.33370400045652,0,1,33,-2.0,-1.5,1.5493492957605832,0.15,-21.963704000456516,-1.6500000000000008,-3.449999999999999,5.480000000000003,-50.0,0.7627302488010111
38,-164.63137163263914,0,1,56,-1.0,-0.5,2.0078044920494613,0.17,-40.74137163263913,-2.799999999999998,-5.5500000000000025,8.66,-50.0,0.7574283480051504
39,-49.52848467153182,0,1,32,-1.0,-0.5,0.4085073411359713,0.19,23.39151532846818,-1.6000000000000008,-3.299999999999999,5.180000000000002,-50.0,0.754416417075521
40,-157.86337787218704,0,1,56,-2.0,-1.5,1.7721417639104644,0.17,-30.88337787218705,-2.799999999999998,-5.700000000000003,5.720000000000006,-50.0,0.7491763617129306
41,-161.52439753856538,0,1,51,-2.0,-1.5,2.302415896020464,0.19,-52.094397538565374,-2.549999999999999,-4.800000000000001,9.119999999999997,-50.0,0.7444380908323994
42,-65.92131893910502,0,1,33,-1.5,0.5,0.9052890831819315,0.17,8.318681060894976,-1.6500000000000008,-3.299999999999999,5.4600000000000035,-50.0,0.7413892755451227
43,-160.7705643021853,0,1,64,-2.0,-1.5,1.3259305621374842,0.19,-13.020564302185337,-3.1999999999999966,-7.350000000000007,10.399999999999995,-50.0,0.7355145216592178
44,-106.83425694884451,0,1,52,-1.5,0.5,0.9046896997274108,0.17,8.415743051155493,-2.5999999999999988,-6.450000000000005,7.500000000000003,-50.0,0.7307780596844603
45,-46.64049846117777,0,1,26,-1.0,-0.5,0.544545544171455,0.19,17.939501538822228,-1.3000000000000005,-2.5499999999999994,4.220000000000002,-50.0,0.7284221150743129
46,-45.64305372381513,0,1,26,-1.0,-0.5,0.5163456027950077,0.18,18.91694627618487,-1.3000000000000005,-2.5499999999999994,4.240000000000002,-50.0,0.7260743235985492
47,-147.45957003370717,0,1,53,-1.5,0.5,1.9222765086251794,0.17,-32.69957003370715,-2.6499999999999986,-5.400000000000002,9.539999999999996,-50.0,0.7213135728428823
48,-198.43999124611653,0,1,67,-1.5,0.5,2.0528566302864735,0.16,-37.509991246116535,-3.349999999999996,-6.900000000000006,6.520000000000008,-50.0,0.7153432122412298
49,-54.68679810971466,0,1,31,-1.5,0.5,0.6636896975274943,0.18,17.63320189028534,-1.5500000000000007,-3.449999999999999,4.380000000000003,-50.0,0.7125988026510108
50,-60.16807398624276,0,1,40,-1.0,-0.5,0.3014591415825087,0.17,27.691926013757236,-2.000000000000001,-3.8999999999999986,5.040000000000004,-50.0,0.7090743492668191
51,-160.06450184820392,0,1,56,-2.0,-1.5,1.8244529426476888,0.12,-32.9745018482039,-2.799999999999998,-5.5500000000000025,5.460000000000004,-50.0,0.7041715872151346
52,-78.67690771985669,0,1,27,-1.5,0.5,1.414797141337844,0.17,-11.986907719856692,-1.3500000000000005,-2.6999999999999993,3.560000000000002,-50.0,0.7018208034507819
53,108.0932661953056,1,0,15,-1.0,-0.5,0.19004789416481904,0.26,32.1532661953056,-0.7500000000000001,-1.05,2.2399999999999998,80.0,0.7005184646168272
54,-65.75068509053321,0,1,22,-2.0,-1.5,1.1298926987754128,0.19,-5.190685090533211,-1.1000000000000003,-1.9499999999999995,2.9400000000000004,-50.0,0.6986130730611357
55,-115.17444970714538,0,1,47,-1.5,0.5,1.4574862137943507,0.12,-13.694449707145369,-2.3499999999999996,-5.5500000000000025,8.120000000000003,-50.0,0.6945611404524424
56,-99.29319209578293,0,1,35,-2.0,-1.5,1.549778872627807,0.16,-21.99319209578294,-1.7500000000000009,-3.7499999999999987,6.200000000000003,-50.0,0.6915601961132787
57,-85.3558632400507,0,1,26,-2.0,-1.5,1.495994561253278,0.18,-19.7758632400507,-1.3000000000000005,-2.5499999999999994,3.2200000000000006,-50.0,0.6893399713798043
58,-45.51820654539614,0,1,24,-1.5,0.5,0.67732936100084,0.15,17.51179345460386,-1.2000000000000004,-2.2499999999999996,3.0200000000000014,-50.0,0.6872973534031851
59,92.56971276293658,1,0,35,-1.5,0.5,0.1352769495125556,0.36,38.769712762936585,-1.7500000000000009,-3.449999999999999,7.0000000000000036,80.0,0.6843302277652404
60,-66.03681415192678,0,1,22,-2.0,-1.5,1.1418794207818985,0.18,-5.646814151926769,-1.1000000000000003,-2.0999999999999996,3.2600000000000007,-50.0,0.682472252126969
61,-51.204852697068965,0,1,32,-1.0,-0.5,0.4341345155041758,0.16,22.365147302931035,-1.6000000000000008,-3.449999999999999,4.680000000000003,-50.0,0.6797794525753462
62,-54.95421391618767,0,1,27,-1.5,0.5,0.8341274499182604,0.15,11.165786083812328,-1.3500000000000005,-2.5499999999999994,3.980000000000002,-50.0,0.6775163226241668
63,-163.90128139634103,0,1,53,-2.0,-1.5,2.229872615742088,0.15,-49.19128139634103,-2.6499999999999986,-5.250000000000002,9.439999999999996,-50.0,0.6730975054869845
64,-72.18704248033518,0,1,21,-1.5,0.5,1.4392090554212376,0.14,-13.03704248033517,-1.0500000000000003,-1.6499999999999997,3.0000000000000013,-50.0,0.6713552727357313
65,-83.44464889425169,0,1,32,-1.5,0.5,1.3736210121484564,0.17,-10.414648894251686,-1.6000000000000008,-3.449999999999999,5.220000000000002,-50.0,0.6687098045840543
