episode,reward,success,collision,steps,goal_x,goal_y,dist,min_scan,r_progress,r_time,r_smooth,r_collision_avoid,r_terminal,epsilon
1,-95.40001962016605,0,1,46,-2.0,-1.5,1.485058513134034,0.16,-9.700019620166044,-2.3,-3.600000000000002,19.65,-50.0,0.896183593355135
2,-78.35067239811565,0,1,44,-1.5,0.5,0.8607889817478922,0.19,5.049327601884345,-2.2,-3.5000000000000018,17.4,-50.0,0.8924685646012088
3,-62.12117168043835,0,1,30,-1.5,0.5,0.913657014062604,0.19,4.028828319561651,-1.5000000000000007,-2.1000000000000005,7.700000000000002,-50.0,0.8899449462276791
4,-69.64859111600327,0,1,31,-1.5,0.5,1.4526745265143854,0.19,-6.7485911160032686,-1.5500000000000007,-2.1000000000000005,12.449999999999998,-50.0,0.8873451486626033
5,-72.26656284104305,0,1,33,-1.5,0.5,1.4835306018692722,0.18,-7.366562841043054,-1.6500000000000008,-2.500000000000001,14.0,-50.0,0.8845864640052074
6,-67.78176453986877,0,1,29,-1.5,0.5,1.4630575197563225,0.19,-7.081764539868773,-1.4500000000000006,-2.1000000000000005,11.7,-50.0,0.8821696693056765
7,-74.88541348339947,0,1,33,-1.5,0.5,1.3742709153898123,0.17,-5.285413483399477,-1.6500000000000008,-2.500000000000001,9.3,-50.0,0.8794280355806463
8,-70.81866681532853,0,1,38,-2.0,-1.5,0.9534872282774343,0.17,0.9313331846714767,-1.900000000000001,-2.9000000000000012,16.300000000000004,-50.0,0.8762821899376615
9,-392.1923916641529,0,1,114,-1.5,0.5,3.457364733949789,0.18,-46.84239166415312,-5.699999999999988,-7.899999999999988,34.6,-50.0,0.86691606134033
10,-68.31825646011951,0,1,21,-2.0,-1.5,1.6014651453686695,0.18,-12.01825646011951,-1.0500000000000003,-1.2,5.4,-50.0,0.8652023376511823
11,-49.828385491102736,0,1,23,-1.5,0.5,0.8391653184692774,0.14,5.521614508897266,-1.1500000000000004,-1.3,8.600000000000001,-50.0,0.8633295268326232
12,-76.34102938788955,0,1,36,-1.5,0.5,1.3747980306450944,0.16,-5.1910293878895475,-1.800000000000001,-2.400000000000001,12.75,-50.0,0.8604068045925972
13,-69.67895844805321,0,1,34,-1.5,0.5,1.3324679600598412,0.16,-4.478958448053207,-1.7000000000000008,-1.6000000000000003,14.45,-50.0,0.8576561003041174
14,-181.33087284560787,0,1,75,-1.5,0.5,2.2523219106529067,0.19,-22.780872845607828,-3.7499999999999947,-4.5,34.7,-50.0,0.8516213381976566
15,115.95698664553537,1,0,16,-1.0,-0.5,0.24284065213503345,0.35,14.556986645535376,-0.8000000000000002,-0.6,8.0,100.0,0.8503397695848319
16,-38.02906600782417,0,1,13,-1.0,-0.5,0.3795738863609114,0.18,11.72093399217583,-0.65,-0.5,4.65,-50.0,0.8493000038785143
17,-137.04168142820313,0,1,53,-2.0,-1.5,2.4695255383662396,0.16,-29.391681428203096,-2.6499999999999986,-3.5000000000000018,14.749999999999998,-50.0,0.8450749202198657
18,-40.97350886343703,0,1,16,-1.0,-0.5,0.5028951501958601,0.18,9.726491136562974,-0.8000000000000002,-0.8999999999999999,6.2,-50.0,0.8438038175008576
19,-59.184518608704664,0,1,26,-2.0,-1.5,1.0767816043660157,0.14,-1.5345186087046647,-1.3000000000000005,-1.5000000000000002,10.100000000000001,-50.0,0.8417426083084534
20,110.89277111539019,1,0,23,-1.0,-0.5,0.2496173985718774,0.23,14.792771115390194,-1.1500000000000004,-1.3,10.05,100.0,0.8399236928639435
21,-60.375832187043116,0,1,22,-1.5,0.5,1.4393061741236806,0.19,-6.675832187043116,-1.1000000000000003,-1.4000000000000001,9.25,-50.0,0.8381877709538991
22,-122.06257089457702,0,1,44,-1.5,0.5,2.425752866958522,0.15,-26.212570894576995,-2.2,-2.400000000000001,3.8499999999999996,-50.0,0.8347273632414586
23,-64.08019678965778,0,1,19,-2.0,-1.5,1.562369021687547,0.18,-11.230196789657771,-0.9500000000000003,-1.2,6.9,-50.0,0.8332377967875422
24,-43.63375618768397,0,1,26,-1.0,-0.5,0.2884942585813025,0.14,14.016243812316029,-1.3000000000000005,-1.6000000000000003,10.2,-50.0,0.8312040235667738
25,-51.974671540204525,0,1,26,-2.0,-1.5,0.6788239356972161,0.17,6.425328459795475,-1.3000000000000005,-1.5000000000000002,9.35,-50.0,0.8291755312881794
26,-185.62461827916246,0,1,79,-2.0,-1.5,1.508672330620244,0.19,-10.174618279162456,-3.949999999999994,-4.799999999999999,33.400000000000006,-50.0,0.8230442948623904
27,-187.10839874614848,0,1,68,-1.5,0.5,3.2197741057636584,0.12,-42.30839874614851,-3.399999999999996,-3.900000000000002,23.000000000000004,-50.0,0.8178054259985555
