episode,reward,success,collision,steps,goal_x,goal_y,dist,min_scan,r_progress,r_time,r_smooth,r_collision_avoid,r_terminal,epsilon
1,-37.454700492652144,0,1,31,-2.0,-1.5,0.7598090837837086,0.15,9.605299507347858,-1.5500000000000007,-3.149999999999999,4.340000000000002,-25.0,0.8974538211778671
2,51.5362670665601,1,0,36,-1.0,-0.5,0.24206195543046738,0.35,29.886267066560094,-1.800000000000001,-4.049999999999999,7.200000000000004,50.0,0.8944084723385136
3,-26.491054984504025,0,1,26,-2.0,-1.5,0.678717736527626,0.19,12.848945015495978,-1.3000000000000005,-2.5499999999999994,4.460000000000002,-25.0,0.8922158619391231
4,-49.797773200613825,0,1,24,-1.5,0.5,1.4275693954256163,0.13,-12.497773200613826,-1.2000000000000004,-2.0999999999999996,3.6000000000000014,-25.0,0.8901969675128499
5,-404.60978516355453,0,1,111,-1.0,-0.5,2.98651210130966,0.18,-80.69978516355457,-5.549999999999988,-11.400000000000016,17.739999999999974,-25.0,0.880922350524676
6,-76.81348487776276,0,1,42,-1.5,0.5,1.3690823624759583,0.17,-10.153484877762766,-2.1000000000000005,-4.950000000000001,6.340000000000004,-25.0,0.8774397951381391
7,-59.674621119351,0,1,39,-2.0,-1.5,0.9724561020777164,0.18,1.1053788806489928,-1.950000000000001,-4.65,5.9200000000000035,-25.0,0.8742190644442286
8,-66.76105374519076,0,1,30,-2.0,-1.5,1.546217887300506,0.13,-21.85105374519076,-1.5000000000000007,-3.299999999999999,5.140000000000002,-25.0,0.8717501125304802
9,-42.23931089330465,0,1,19,-1.5,0.5,1.3642345037311079,0.18,-10.039310893304645,-0.9500000000000003,-1.6499999999999997,3.000000000000001,-25.0,0.870190269636674
10,-60.30067790968502,0,1,25,-2.0,-1.5,1.546852277100861,0.15,-21.87067790968502,-1.2500000000000004,-2.5499999999999994,4.120000000000002,-25.0,0.8681423549225972
11,-135.28038292070485,0,1,46,-2.0,-1.5,2.4807043653172105,0.19,-59.23038292070484,-2.3,-4.199999999999999,4.900000000000005,-25.0,0.8643875427788668
12,-8.499187199536394,0,1,23,-1.5,0.5,0.4314757244762946,0.17,27.350812800463615,-1.1500000000000004,-2.0999999999999996,3.9000000000000012,-25.0,0.8625166038350329
