episode,reward,success,collision,steps,goal_x,goal_y,dist,min_scan,r_progress,r_time,r_smooth,r_collision_avoid,r_terminal,epsilon
1,-67.04269466105964,0,1,28,-1.5,0.5,1.3778864657119603,0.19,-5.292694661059638,-1.4000000000000006,-1.9000000000000006,9.049999999999997,-50.0,0.8977080954634562
2,-54.14714357589327,0,1,23,-2.0,-1.5,0.9423145019753574,0.17,1.1528564241067274,-1.1500000000000004,-1.4000000000000001,8.75,-50.0,0.89576060731378
3,-67.67324952496324,0,1,22,-2.0,-1.5,1.5687172209020048,0.19,-11.373249524963242,-1.1000000000000003,-1.4000000000000001,6.6499999999999995,-50.0,0.8939019792182414
4,-45.217115935038585,0,1,14,-1.5,0.5,0.8635575768604968,0.14,5.032884064961415,-0.7000000000000001,-0.4,4.7,-50.0,0.892721343085466
5,-47.47373919828526,0,1,17,-1.5,0.5,0.8764319867676886,0.19,4.776260801714738,-0.8500000000000002,-0.7,5.250000000000001,-50.0,0.8912899338448063
6,108.53987523725073,1,0,28,-2.0,-1.5,0.2384612100705226,0.31,15.239875237250718,-1.4000000000000006,-1.8000000000000005,14.0,100.0,0.8889376168107356
7,-117.92737459936285,0,1,53,-2.0,-1.5,1.8615860330247995,0.19,-17.227374599362847,-2.6499999999999986,-3.2000000000000015,21.4,-50.0,0.8845030095316
8,-53.01848994211572,0,1,28,-1.0,-0.5,0.5849951520469028,0.15,7.681510057884275,-1.4000000000000006,-2.0000000000000004,10.2,-50.0,0.8821696693056765
9,-89.44558631721227,0,1,43,-1.5,0.5,1.3773861584952167,0.17,-5.245586317212281,-2.1500000000000004,-2.600000000000001,13.550000000000002,-50.0,0.8785990221208799
10,-68.50959368790086,0,1,31,-2.0,-1.5,1.1029212256313274,0.19,-2.0595936879008625,-1.5500000000000007,-2.0000000000000004,8.799999999999999,-50.0,0.8760343424596607
11,-66.8344027551862,0,1,41,-1.0,-0.5,0.5081669134489164,0.18,9.615597244813786,-2.0500000000000007,-3.2000000000000015,17.75,-50.0,0.8726545349954234
12,-98.18216988345665,0,1,47,-1.5,0.5,1.503078555865737,0.19,-7.93216988345665,-2.3499999999999996,-3.4000000000000017,17.2,-50.0,0.8687971306819176
13,-67.61952774992176,0,1,38,-1.5,0.5,0.8860126461013931,0.19,4.580472250078249,-1.900000000000001,-2.800000000000001,15.75,-50.0,0.8656916058195454
14,-54.234065662244184,0,1,28,-1.0,-0.5,0.6112415982025147,0.17,7.165934337755819,-1.4000000000000006,-1.9000000000000006,9.399999999999999,-50.0,0.8634108638520896
15,-56.5243298474231,0,1,25,-2.0,-1.5,0.9711580352200804,0.19,0.5756701525769037,-1.2500000000000004,-1.5000000000000002,9.4,-50.0,0.8613798764844748
16,117.35295383566914,1,0,12,-1.0,-0.5,0.21103999519360606,0.41,15.052953835669133,-0.6,-0.4,6.0,100.0,0.8604068045925972
17,-71.31091199682933,0,1,33,-1.5,0.5,1.4065482800747429,0.16,-6.06091199682933,-1.6500000000000008,-2.400000000000001,13.55,-50.0,0.8577368699525629
18,98.82235198109029,1,0,32,-2.0,-1.5,0.24382719238217263,0.34,15.122351981090288,-1.6000000000000008,-1.8000000000000005,10.299999999999997,100.0,0.8551562431736953
19,-78.50406047723678,0,1,38,-1.5,0.5,1.3659583853128892,0.16,-5.054060477236768,-1.900000000000001,-2.800000000000001,14.5,-50.0,0.8521024553212788
