episode,reward,success,collision,steps,goal_x,goal_y,dist,min_scan,r_progress,r_time,r_smooth,r_collision_avoid,r_terminal,epsilon
1,-26.59781763066335,0,1,36,-1.5,0.5,0.38294153885473975,0.18,29.29218236933666,-1.800000000000001,-3.7499999999999987,4.360000000000003,-25.0,0.8940707764932498
2,-34.51402182547532,0,1,23,-2.0,-1.5,0.9556546237267382,0.19,1.7759781745246839,-1.1500000000000004,-2.0999999999999996,3.460000000000001,-25.0,0.8901969675128499
3,-58.951579475767865,0,1,37,-2.0,-1.5,1.026596672868188,0.19,-1.0715794757678632,-1.850000000000001,-3.8999999999999986,4.320000000000002,-25.0,0.8840024579063851
4,-38.85547389869163,0,1,28,-2.0,-1.5,0.9273282341622255,0.18,2.904526101308371,-1.4000000000000006,-2.6999999999999993,4.840000000000002,-25.0,0.8793450969240901
5,-26.389695215029427,0,1,18,-2.0,-1.5,0.8548445107752967,0.15,5.8103047849705725,-0.9000000000000002,-1.3499999999999999,1.7999999999999996,-25.0,0.8763648222882039
6,-117.78790335473319,0,1,55,-1.0,-0.5,1.5434947580848875,0.18,-22.007903354733198,-2.7499999999999982,-6.150000000000004,9.619999999999996,-25.0,0.867324621502529
7,-73.35302826873308,0,1,34,-2.0,-1.5,1.543631224043125,0.16,-21.743028268733077,-1.7000000000000008,-3.5999999999999988,5.040000000000003,-25.0,0.8617856678621075
8,-69.57171552564364,0,1,37,-1.5,0.5,1.4528380129035863,0.18,-13.581715525643627,-1.850000000000001,-4.35,6.660000000000004,-25.0,0.8558006258869525
9,-45.33157567056563,0,1,31,-2.0,-1.5,0.9620966839833243,0.18,1.5184243294343691,-1.5500000000000007,-2.999999999999999,4.400000000000002,-25.0,0.850820117536558
10,-11.013901769048912,0,1,26,-1.0,-0.5,0.2662778903624212,0.17,28.68609823095108,-1.3000000000000005,-2.5499999999999994,4.100000000000002,-25.0,0.846666661270776
11,-20.6754692727093,0,1,15,-2.0,-1.5,0.7870816041122541,0.17,8.514530727290701,-0.7500000000000001,-0.9,1.9599999999999997,-25.0,0.8442802427046265
