goal_x,goal_y,episodes,success_rate,collision_rate,reward_mean,reward_median,steps_mean,dist_mean
-0.7,-0.5,1425,0.42175438596491227,0.5782456140350877,-41.96794275573929,-290.66468052450017,27.166315789473686,0.6744932666683673
0.0,0.5,716,0.006983240223463687,0.9930167597765364,-294.7257859872518,-295.9198796599277,30.920391061452513,1.6587696068865814
1.0,-0.5,65,0.0,1.0,-287.4065047071528,-283.8672966994905,34.2,1.71232111036373
1.7,0.5,94,0.0,1.0,-290.99092071393045,-289.02505801902987,35.6063829787234,2.6916278349613436
